modulo;temps_secondes
125;20,263679
125;20,388797
126;19,997503
126;20,034751
126;19,902306
127;19,955276
127;19,822923
127;20,030857
128;19,713922
128;19,725588
128;19,952817
129;20,041313
129;19,902372
129;20,106545
130;20,285002
130;20,911445
130;20,568169
131;20,016132
131;19,883040
131;19,922105
132;19,869674
132;19,939628
132;19,978326
133;20,200350
133;20,369779
133;20,205379
134;20,038974
134;20,032565
134;20,171016
135;19,826778
135;19,845721
135;19,975915
136;20,213102
136;20,205627
136;20,214393
137;20,347540
137;20,430868
137;20,620922
138;20,246122
138;20,253101
138;20,305951
139;20,365393
139;20,388386
139;20,332785
140;20,263777
140;20,500766
140;20,515831
141;21,197997
141;20,730130
141;20,807064
142;20,609704
142;20,681559
142;20,824431
143;20,554162
143;20,755420
143;20,957154
144;20,660436
144;20,741518
144;20,776843
145;20,539264
145;20,444843
145;20,467260
146;20,136967
146;20,723966
146;20,599084
147;20,571408
147;20,743361
147;20,241357
148;20,645971
148;20,728164
148;20,719564
149;20,963103
149;21,299603
149;20,998283
150;20,535619
150;20,519235
150;20,539509
151;20,719907
151;20,712579
151;20,888233
152;20,887390
152;20,912113
152;20,614791
153;20,982473
153;20,967124
153;20,857973
154;20,963058
154;20,771982
154;20,784656
155;21,290555
155;21,426630
155;21,329322
156;20,678435
156;20,783615
156;20,455909
157;20,849086
157;20,877619
157;20,868956
158;21,195821
158;20,929674
158;21,218520
159;21,199547
159;21,107074
159;21,039903
160;20,992511
160;20,981838
160;20,824741
161;21,414965
161;21,099116
161;21,182868
162;21,159929
162;20,903292
162;20,609492
163;21,171844
163;21,303378
163;21,244540
164;21,026096
164;21,163681
164;21,080115
165;21,053564
165;21,139243
165;21,481575
166;21,158218
166;21,150394
166;21,411568
167;21,114269
167;21,052715
167;21,146721
168;21,330403
168;21,108503
168;21,075528
169;20,967136
169;21,119143
169;21,123227
170;21,308741
170;21,614438
170;21,118124
171;21,354496
171;21,300965
171;21,309025
172;21,724456
172;21,994387
172;21,505676
173;20,876500
173;20,954268
173;20,771051
174;21,095083
174;21,063471
174;21,131240
175;21,136602
175;21,157029
175;20,985436
176;20,986336
176;21,014784
176;21,050199
177;21,339440
177;21,570417
177;21,256466
178;21,241345
178;21,057708
178;20,824370
179;21,094436
179;21,184586
179;21,206753
180;21,312609
180;21,347265
180;21,358487
